Object,Count,Key,Rank,Learning Objective,Name,Type,Status,Descriptiion,
Syllibus,225,S225,8,Defense Against Clothing Grab,Maek Chi Ki 11,Technique,Untrained,Yuhm Chuhn,
Syllibus,226,S226,8,Defense Against Clothing Grab,Maek Chi Ki 12,Technique,Untrained,Jahng Moon,
Syllibus,227,S227,8,Defense Against Clothing Grab,Maek Chi Ki 13,Technique,Untrained,Ah Moon,
Syllibus,228,S228,8,Defense Against Clothing Grab,Maek Chi Ki 14,Technique,Untrained,Shin Juhng,
Syllibus,229,S229,8,Defense Against Clothing Grab,Maek Chi Ki 15,Technique,Untrained,Yoo Geun,
Syllibus,230,S230,9,Defense Against Clothing Grab,Maek Cha Ki 1,Technique,Untrained,Sam Um Kyo,
Syllibus,231,S231,9,Defense Against Clothing Grab,Maek Cha Ki 2,Technique,Untrained,Dohk Bi,
Syllibus,232,S232,9,Defense Against Clothing Grab,Maek Cha Ki 3,Technique,Untrained,Wee Joong,
Syllibus,233,S233,9,Defense Against Clothing Grab,Maek Cha Ki 4,Technique,Untrained,Hyul Hae,
Syllibus,234,S234,9,Defense Against Clothing Grab,Maek Cha Ki 5,Technique,Untrained,Jahng Moon,
Syllibus,235,S235,9,Defense Against Clothing Grab,Maek Cha Ki 6,Technique,Untrained,Geuk Chuhn,
Syllibus,236,S236,9,Defense Against Clothing Grab,Maek Cha Ki 7,Technique,Untrained,Ki Hae,
Syllibus,237,S237,9,Defense Against Clothing Grab,Maek Cha Ki 8,Technique,Untrained,Goo Mi,
Syllibus,238,S238,9,Defense Against Clothing Grab,Maek Cha Ki 9,Technique,Untrained,Yuhm Chuhn,
Syllibus,239,S239,9,Defense Against Clothing Grab,Maek Cha Ki 10,Technique,Untrained,Hohn Soo,
Syllibus,240,S240,9,Defense Against Clothing Grab,Maek Cha Ki 11,Technique,Untrained,You Geun,
Syllibus,241,S241,9,Defense Against Clothing Grab,Maek Cha Ki 12,Technique,Untrained,Ah Moon,
Syllibus,242,S242,9,Defense Against Clothing Grab,Maek Cha Ki 13,Technique,Untrained,Gaek Joo,
Syllibus,243,S243,9,Defense Against Clothing Grab,Maek Cha Ki 14,Technique,Untrained,Dae Choo,
Syllibus,244,S244,9,Defense Against Clothing Grab,Maek Cha Ki 15,Technique,Untrained,Yahng Neung Chung,
Syllibus,245,S245,9,Defense Against Clothing Grab,Joo Muhk Maga Ki Bon Soo 1,Technique,Untrained,Throw Right,
Syllibus,246,S246,9,Defense Against Clothing Grab,Joo Muhk Maga Ki Bon Soo 2,Technique,Untrained,Throw Left,
